x,CDF
5.00e-03,1.5444811642e-26
1.00e-02,1.6254621050e-20
2.00e-02,2.5576048879e-15
5.00e-02,1.0397983215e-09
6.00e-02,9.1780285857e-09
7.00e-02,5.2307339850e-08
8.00e-02,2.1922599282e-07
9.00e-02,7.3272173249e-07
1.00e-01,2.0606433960e-06
2.00e-01,6.4347101291e-04
3.00e-01,8.0212854560e-03
4.00e-01,3.3432418409e-02
5.00e-01,8.2828519002e-02
6.00e-01,1.5347299656e-01
7.00e-01,2.3781463705e-01
8.00e-01,3.2769493571e-01
9.00e-01,4.1655248123e-01
1.00e+00,5.0000000000e-01
1.20e+00,6.4231108624e-01
1.50e+00,7.9129712662e-01
2.00e+00,9.1717148100e-01
3.00e+00,9.8599779443e-01
4.00e+00,9.9721938214e-01
5.00e+00,9.9935652899e-01
6.00e+00,9.9983050191e-01
7.00e+00,9.9995025254e-01
8.00e+00,9.9998400962e-01
9.00e+00,9.9999444730e-01
1.00e+01,9.9999793936e-01
2.00e+01,9.9999999896e-01
5.00e+01,1.0000000000e+00
1.00e+02,1.0000000000e+00
2.00e+02,1.0000000000e+00
5.00e+02,1.0000000000e+00
1.00e+03,1.0000000000e+00
2.00e+03,1.0000000000e+00
5.00e+03,1.0000000000e+00
1.00e+04,1.0000000000e+00
