x,CDF
5.00e-03,5.8437348471e-08
1.00e-02,2.0606433960e-06
2.00e-02,4.5763095250e-05
5.00e-02,1.3689334879e-03
6.00e-02,2.4509498333e-03
7.00e-02,3.9156246988e-03
8.00e-02,5.7729311554e-03
9.00e-02,8.0212854560e-03
1.00e-01,1.0651099342e-02
2.00e-01,5.3760310452e-02
3.00e-01,1.1430004505e-01
4.00e-01,1.7975721390e-01
5.00e-01,2.4410859579e-01
6.00e-01,3.0473658251e-01
7.00e-01,3.6066758262e-01
8.00e-01,4.1171189186e-01
9.00e-01,4.5804487279e-01
1.00e+00,5.0000000000e-01
1.20e+00,5.7233480884e-01
1.50e+00,6.5743216949e-01
2.00e+00,7.5589140421e-01
3.00e+00,8.6403139236e-01
4.00e+00,9.1717148100e-01
5.00e+00,9.4623968955e-01
6.00e+00,9.6341424808e-01
7.00e+00,9.7416723320e-01
8.00e+00,9.8121160719e-01
9.00e+00,9.8599779443e-01
1.00e+01,9.8934890066e-01
2.00e+01,9.9863106651e-01
5.00e+01,9.9995423690e-01
1.00e+02,9.9999793936e-01
2.00e+02,9.9999994156e-01
5.00e+02,9.9999999974e-01
1.00e+03,1.0000000000e+00
2.00e+03,1.0000000000e+00
5.00e+03,1.0000000000e+00
1.00e+04,1.0000000000e+00
