Event Id | Investigation Type | Accident Number | Event Date | Location | Country | Latitude | Longitude | Airport Code | Airport Name | Injury Severity | Aircraft Damage | Aircraft Category | Registration Number | Make | Model | Amateur Built | Number of Engines | Engine Type | FAR Description | Schedule | Purpose of Flight | Air Carrier | Total Fatal Injuries | Total Serious Injuries | Total Minor Injuries | Total Uninjured | Weather Condition | Broad Phase of Flight | Report Status | Publication Date | 
20160114X10042 | Accident | CEN16LA084 | 12/21/2015 | Warrenton, MO | United States | 38.714722 | -91.173611 |  | N/A | Non-Fatal | Destroyed | Helicopter | N292B | SCHWEIZER | 269C | No | 1 | Reciprocating | Part 91: General Aviation |  | Personal |  |  |  | 1 |  | IMC | MANEUVERING | Factual <br />07/19/2017<br/>Final <br />09/06/2017 | 09/06/2017 | 
20151222X41221 | Accident | CEN16WA066 | 12/16/2015 | Mixco, Guatemala | Guatemala | 14.633056 | -90.606389 |  |  | Non-Fatal | Substantial | Helicopter |  | BELL | 407 |  |  |  |  |  |  |  |  | 1 |  | 2 |  |  | Foreign |  | 
20151217X15124 | Accident | ANC16LA010 | 12/16/2015 | Valdez, AK | United States | 61.134166 | -146.244722 | VDZ | VALDEZ PIONEER FIELD | Non-Fatal | Substantial | Helicopter | N255VS | ROBINSON HELICOPTER COMPANY | R44 II | No | 1 | Reciprocating | Part 91: General Aviation |  | Aerial Observation |  |  |  |  | 3 | VMC | TAKEOFF | Factual <br />12/27/2016<br/>Final <br />03/06/2017 | 03/06/2017 | 
20151216X13718 | Accident | WPR16FA040 | 12/15/2015 | Superior, AZ | United States | 33.425278 | -111.154722 |  | N/A | Fatal(2) | Substantial | Helicopter | N74317 | AIRBUS Helicopters | AS350 | No | 2 | Turbo Shaft | Part 135: Air Taxi & Commuter | NSCH |  | AIR METHODS CORP | 2 | 1 |  |  | VMC | MANEUVERING | Factual <br />12/06/2018<br/>Final <br />03/18/2019 | 03/18/2019 | 
20151217X21921 | Accident | ERA16WA072 | 12/12/2015 | Mendoza Province, Argentina | Argentina | -32.994444 | -69.145555 |  | N/A | Fatal(2) | Substantial | Helicopter |  | BELL | 206 | No | 1 | Turbo Shaft | Non-U.S., Non-Commercial |  | Unknown |  | 2 |  |  |  |  |  | Foreign |  | 
20151217X60832 | Accident | CEN16WA065 | 12/10/2015 | Salinas Victoria, Mexico | Mexico |  |  |  |  | Unavailable | Substantial | Helicopter |  | ENSTROM | 280 | No |  |  |  |  |  |  |  |  |  |  |  | CLIMB | Foreign |  | 
20151211X13514 | Accident | WPR16FA037 | 12/10/2015 | McFarland, CA | United States | 35.673611 | -119.055556 |  | N/A | Fatal(4) | Destroyed | Helicopter | N408FC | BELL | 407 | No | 1 | Turbo Shaft | Part 135: Air Taxi & Commuter | NSCH |  | Rogers Helicopters (DBA: SkyLife) | 4 |  |  |  | VMC | CRUISE | Factual <br />11/14/2018<br/>Final <br />03/18/2019 | 03/18/2019 | 
20151210X75818 | Accident | GAA16CA075 | 12/09/2015 | West Palm Beach, FL | United States | 26.845833 | -80.222500 | F45 | NORTH PALM BEACH COUNTY GENERA | Non-Fatal | Substantial | Helicopter | N4427H | ROBINSON HELICOPTER | R44 | No | 1 | Reciprocating | Part 91: General Aviation |  | Instructional |  |  |  |  | 1 | VMC | LANDING | Factual <br />03/07/2016<br/>Final <br />03/14/2016 | 03/14/2016 | 
20151208X01729 | Accident | CEN16LA058 | 12/07/2015 | Angleton, TX | United States | 29.108611 | -95.461944 |  | N/A | Non-Fatal | Substantial | Helicopter | N607BP | MCDONNELL DOUGLAS HELICOPTER | 600N | No | 1 | Turbo Shaft | Part 91: General Aviation |  | Personal |  |  |  | 2 |  | VMC | MANEUVERING | Factual <br />11/07/2016<br/>Final <br />01/18/2017 | 01/18/2017 | 
20151210X10250 | Incident | CEN16WA060 | 12/06/2015 | Wexford, Ireland | Ireland | 52.151111 | -6.978611 |  |  | Incident |  | Helicopter |  | SIKORSKY | S92 | No |  |  |  |  |  |  |  |  |  |  |  | MANEUVERING | Foreign |  | 
