Engineering_Stress,Micro_Strain
-0.0036,1
0.1875,-1
3.599,57
6.0416,95
7.9899,130
10.188,162
12.353,200
14.4524,235
16.673,270
18.8219,311
21.0418,348
23.2143,383
25.3594,414
27.429,449
29.6532,486
31.9693,522
34.2469,563
36.424,592
38.6414,628
40.8414,664
43.1199,694
45.3816,730
47.6565,761
49.9414,797
52.266,828
54.6681,865
56.9078,897
59.0397,927
61.2649,959
63.7105,994
66.1045,1032
68.4191,1064
70.5947,1092
73.0907,1128
75.4709,1164
77.6493,1192
79.8667,1220
82.1578,1255
84.521,1289
86.8382,1321
89.1398,1349
91.4104,1381
93.6679,1416
95.8227,1445
98.2425,1480
100.5928,1514
102.8908,1546
105.0955,1579
107.4967,1613
109.836,1644
111.9892,1676
114.0513,1702
116.4313,1739
118.9012,1773
121.0673,1801
123.2294,1835
125.4319,1864
127.8278,1898
129.9347,1927
131.8988,1956
133.8743,1985
136.0362,2016
138.0426,2044
139.2854,2063
140.8543,2085
142.6918,2111
144.5256,2137
146.5198,2165
148.7162,2195
150.7177,2225
152.5337,2251
154.5503,2282
156.5888,2309
158.437,2336
160.145,2361
162.092,2389
164.26,2419
166.1584,2449
167.8872,2473
169.7452,2500
171.6918,2528
173.5266,2558
175.2402,2583
177.1272,2610
179.1091,2641
180.9328,2669
182.7337,2697
184.6142,2727
186.3486,2750
187.9973,2779
189.8293,2805
191.8164,2837
193.5534,2864
195.1929,2892
196.8457,2919
198.7189,2949
200.3707,2979
201.8611,3002
203.5871,3041
205.3959,3076
207.1275,3109
208.6194,3138
210.1404,3168
211.6584,3198
213.2673,3229
214.6835,3260
216.2587,3292
217.759,3326
219.1922,3360
220.5182,3393
222.0887,3430
223.3285,3464
224.5345,3499
225.8631,3537
227.2806,3577
228.6107,3621
229.7681,3659
230.8302,3698
231.9655,3740
233.2138,3783
234.2122,3822
235.1882,3864
236.2873,3912
237.3806,3957
238.3272,4002
239.1337,4050
239.9109,4096
240.8972,4147
241.7531,4197
242.5769,4249
243.2927,4303
244.012,4354
244.7786,4409
245.351,4461
246.0461,4512
246.6561,4569
247.2345,4622
247.8466,4685
248.5386,4745
249.0463,4801
249.4505,4858
249.8261,4915
250.4686,4975
251.0327,5034
251.3918,5092
251.7048,5155
252.2444,5220
252.7448,5284
252.9556,5343
253.2325,5401
253.6828,5467
254.1355,5528
254.4514,5591
254.749,5656
255.0448,5721
255.3844,5790
255.5507,5849
255.8758,5912
256.2131,5977
256.4667,6042
256.6613,6108
256.9721,6179
257.3536,6245
257.4144,6311
257.4328,6373
257.8098,6441
258.1422,6508
258.3167,6573
258.4219,6639
258.6094,6710
258.9849,6785
259.0325,6849
259.0554,6912
259.3192,6981
259.631,7050
259.7695,7119
259.8777,7189
260.0279,7259
260.1581,7329
260.2798,7396
260.3832,7464
260.6482,7533
260.7549,7600
260.8057,7667
261.0327,7743
261.2464,7819
261.2645,7886
261.2274,7952
261.3937,8021
261.6983,8093
261.8597,8163
261.8277,8234
261.8976,8307
262.1088,8382
262.1978,8449
262.2047,8516
262.2852,8589
262.4763,8660
262.6628,8732
262.666,8805
262.8556,8879
262.8774,8951
262.839,9017
262.9797,9087
263.1894,9159
263.3275,9234
263.3115,9302
263.3392,9378
263.5266,9452
263.65,9523
263.5567,9589
263.5915,9660
263.8222,9733
264.069,9809
264.0028,9881
263.9892,9954
264.1102,10026
264.2426,10100
264.2378,10165
264.3039,10237
264.4174,10311
264.5985,10386
264.6144,10461
264.6579,10533
264.7326,10604
264.7491,10674
264.754,10745
264.9362,10818
265.0935,10892
265.0948,10963
265.1125,11037
265.1846,11113
265.3456,11186
265.3347,11255
265.2759,11325
265.4047,11400
265.6916,11478
265.7182,11551
265.6851,11625
265.5417,11693
265.8101,11766
265.8813,11838
265.8427,11910
265.9599,11985
266.111,12059
266.1948,12133
266.1897,12206
266.2198,12278
266.2595,12350
266.3031,12422
266.3313,12495
266.5863,12570
266.6517,12644
266.5746,12716
266.5485,12789
266.7165,12863
266.8454,12935
266.77,13008
266.7379,13080
267.0369,13155
267.1885,13232
267.0674,13303
267.013,13375
267.1154,13449
267.2882,13525
267.2768,13595
267.3192,13666
267.4626,13741
267.5535,13817
267.5326,13889
267.5282,13963
267.5891,14036
267.6761,14107
267.6933,14181
267.8586,14254
268.0215,14329
267.962,14403
267.8391,14474
267.9988,14551
268.1458,14622
268.089,14693
268.1008,14763
268.2126,14836
268.4967,14914
268.4582,14989
268.3189,15058
268.3949,15148
268.5818,15225
268.586,15297
268.6504,15369
268.728,15445
268.7917,15520
268.7987,15594
268.7708,15667
268.9272,15737
268.9289,15810
268.9258,15881
269.0978,15955
269.3002,16033
269.2683,16110
269.1314,16183
269.1624,16267
269.3922,16340
269.4282,16414
269.3671,16483
269.5028,16560
269.6359,16640
269.7212,16715
269.5945,16787
269.6195,16867
269.794,16939
269.8328,17012
269.8891,17086
270.0103,17163
270.0378,17246
270.0194,17321
270.0621,17398
270.1413,17482
270.2111,17556
270.2093,17629
270.2721,17704
270.4568,17781
270.5047,17866
270.3698,17936
270.306,18007
270.6408,18083
270.7346,18158
270.6565,18228
270.6866,18301
270.8188,18376
270.9475,18451
270.8844,18521
270.8856,18593
270.9119,18667
271.0554,18738
271.174,18812
271.1579,18885
271.2404,18957
271.2505,19028
271.2458,19100
271.3573,19176
271.4824,19249
271.4826,19321
271.5008,19393
271.6203,19468
271.7886,19546
271.6483,19614
271.5682,19682
271.7268,19757
271.9108,19832
271.9747,19900
271.9058,19972
271.9573,20044
272.1532,20121
272.1404,20192
272.0499,20263
272.1261,20336
272.3065,20405
272.4285,20478
272.4169,20552
272.4784,20623
272.4711,20696
272.4426,20768
272.5053,20842
272.6291,20910
272.6999,20978
272.7161,21051
272.7908,21124
272.93,21199
272.9477,21271
272.8393,21339
272.8805,21412
273.128,21485
273.2673,21557
273.1747,21625
273.1371,21700
273.2544,21775
273.36,21846
273.2914,21916
273.3013,21983
273.4636,22053
273.6093,22128
273.6001,22198
273.6779,22272
273.7063,22347
273.6781,22413
273.6979,22481
273.7919,22553
274.0297,22628
273.9868,22700
273.9047,22787
274.0775,22862
274.1599,22932
274.0582,22998
274.034,23066
274.2385,23141
274.4423,23214
274.4007,23286
274.3035,23359
274.4643,23434
274.5439,23505
274.5315,23575
274.5189,23641
274.6919,23719
274.7743,23786
274.8055,23859
274.8232,23932
274.8529,24004
274.8958,24071
274.8423,24141
274.9951,24211
275.1916,24285
275.1808,24357
275.1218,24431
275.1859,24504
275.3596,24579
275.3372,24644
275.2189,24710
275.3515,24782
275.594,24858
275.6363,24930
275.5561,24998
275.5429,25069
275.6558,25139
275.7827,25211
275.6906,25275
275.8413,25351
275.9637,25427
275.9761,25497
276.0207,25568
276.0249,25637
276.0752,25706
276.0522,25773
276.1108,25846
276.3554,25920
276.4179,25992
276.3306,26064
276.3179,26131
276.4095,26202
276.5714,26273
276.464,26340
276.5461,26412
276.652,26486
276.8428,26559
276.7747,26628
276.756,26700
276.7719,26769
276.8974,26839
276.926,26909
276.9686,26989
277.0879,27073
277.1703,27146
