Extensometer Strain (1e-6),Engineering Stress (MPa)
-2,0.00138
-2,0.0031
0,0.09859
7,0.15045
12,0.20787
14,0.25086
26,0.28116
31,0.31058
36,0.33737
42,0.35173
49,0.39645
54,0.4573
63,0.56536
68,0.6645
71,0.80065
81,1.0588
88,1.50168
96,2.04898
109,2.75696
121,3.44676
137,4.40769
147,5.14118
163,6.19158
180,7.04599
193,7.98992
217,9.17518
229,10.04388
246,11.25265
262,12.24213
278,13.2862
297,14.52485
312,15.45745
334,16.78682
350,17.76504
368,18.94221
387,20.14782
401,21.13207
419,22.44728
435,23.41473
454,24.60094
473,25.82242
488,26.83184
508,28.10829
523,29.18156
542,30.39116
558,31.52413
576,32.69449
594,33.92513
610,35.04227
629,36.30421
644,37.48454
663,38.62756
680,39.75415
696,40.94572
715,42.15613
730,43.26327
749,44.54397
764,45.59283
785,46.89761
801,48.00383
818,49.15319
840,50.55733
847,51.23407
868,52.56055
883,53.59769
899,54.70515
918,56.1198
932,56.99071
951,58.38623
965,59.34104
983,60.48107
1002,61.84275
1015,62.66732
1034,64.09481
1048,65.03233
1066,66.22255
1085,67.57681
1095,68.39462
1117,69.88324
1130,70.73996
1146,71.9114
1165,73.16911
1176,73.94489
1194,75.27289
1208,76.18499
1223,77.30117
1241,78.45656
1255,79.34863
1272,80.63223
1288,81.5978
1302,82.72562
1320,83.88976
1335,84.89862
1353,86.078
1367,87.11275
1382,88.13328
1400,89.14539
1413,90.19874
1427,91.16205
1443,92.2578
1456,93.19212
1465,93.81767
1477,94.61436
1487,95.35303
1506,96.5509
1520,97.52437
1535,98.50285
1553,99.76688
1563,100.51169
1582,101.77628
1594,102.61555
1607,103.55458
1625,104.79488
1635,105.41515
1653,106.64403
1664,107.42492
1677,108.29143
1693,109.47018
1703,110.04125
1718,111.27063
1727,111.92615
1741,112.76701
1757,113.89812
1764,114.39609
1784,115.57298
1792,116.26565
1804,117.15771
1819,118.22535
1831,118.84515
1846,120.01202
1859,120.72392
1870,121.59864
1886,122.65988
1898,123.39808
1913,124.48097
1926,125.3073
1936,126.1302
1950,127.086
1962,127.92026
1976,128.79388
1989,129.71729
1999,130.47452
2013,131.32867
2026,132.24702
2039,133.0038
2051,133.99037
2061,134.76073
2075,135.57646
2091,136.62468
2098,137.19705
2113,138.27837
2115,138.39583
2116,138.40744
2119,138.52614
2113,138.08638
2079,135.73659
2041,133.12291
2026,132.05605
2003,130.53934
1986,129.39139
1968,128.08722
1945,126.65343
1933,125.57471
1907,124.01656
1894,122.96079
1874,121.60128
1855,120.27742
1840,119.14873
1816,117.6589
1802,116.58637
1784,115.20037
1767,114.00568
1749,112.83405
1730,111.45072
1715,110.34383
1694,108.97083
1679,107.77971
1658,106.50665
1641,105.20863
1627,104.08231
1608,102.69012
1591,101.54221
1571,100.19247
1554,98.98215
1537,97.75024
1519,96.4891
1503,95.35298
1485,94.01533
1468,92.88052
1450,91.593
1434,90.32879
1415,89.16458
1396,87.78513
1380,86.72759
1360,85.3623
1344,84.17088
1327,82.96763
1307,81.59083
1294,80.59103
1275,79.18496
1260,78.13249
1241,76.87402
1222,75.56733
1210,74.53821
1188,73.07124
1173,72.07057
1156,70.76036
1138,69.49316
1124,68.47263
1103,66.96491
1091,66.01637
1070,64.5985
1054,63.41352
1037,62.35728
1017,60.91342
1004,59.99265
986,58.61044
970,57.46264
955,56.35567
933,54.91973
919,53.9752
901,52.59515
886,51.4635
870,50.29806
849,48.93683
836,47.90816
813,46.55317
799,45.44006
781,44.29734
764,43.03856
751,41.96382
732,40.69176
714,39.5377
701,38.36518
683,37.19179
666,35.96289
648,34.81775
635,33.62164
618,32.41145
603,31.30376
582,30.0015
569,28.97202
552,27.75308
534,26.59557
521,25.63391
500,24.2648
487,23.36362
470,22.16408
451,20.98496
437,20.02361
417,18.68612
404,17.87024
388,16.66314
368,15.43019
354,14.52215
334,13.21566
321,12.4934
303,11.26796
284,10.3071
272,9.38143
252,8.11043
240,7.37339
221,6.23043
207,5.27317
196,4.41131
187,3.93867
187,3.92722
180,3.49555
185,3.70429
213,5.75231
236,7.40742
252,8.41122
271,9.5723
286,10.59082
303,11.69928
324,12.90857
336,13.91758
356,15.1825
371,16.25181
387,17.38594
402,18.49224
417,19.51164
436,20.85312
452,21.83185
470,23.09047
487,24.18172
504,25.30868
523,26.59729
535,27.57714
555,28.97482
571,30.05977
587,31.18114
605,32.54915
621,33.5174
638,34.93077
655,35.94978
671,37.17952
689,38.43018
701,39.45466
722,40.83043
738,41.88467
754,43.15559
770,44.35601
786,45.48033
808,46.89485
821,47.92705
841,49.27755
856,50.44375
874,51.58405
890,52.93472
907,54.00319
926,55.31331
942,56.44488
959,57.70452
978,58.94021
992,60.08467
1013,61.39572
1027,62.50999
1047,63.83444
1065,65.03695
1080,66.25585
1101,67.55136
1115,68.66333
1134,70.01611
1150,71.09931
1167,72.38211
1184,73.53846
1200,74.74729
1221,76.04613
1234,77.12025
1253,78.48597
1270,79.57157
1289,80.85331
1307,82.19238
1321,83.21791
1343,84.70182
1357,85.71029
1376,87.01422
1396,88.27378
1408,89.29169
1432,90.83058
1444,91.72887
1464,93.10854
1482,94.33312
1495,95.36308
1517,96.88304
1533,97.8235
1553,99.2318
1568,100.46256
1584,101.5218
1606,103.10989
1620,103.96414
1642,105.38677
1657,106.5785
1672,107.64939
1694,109.09343
1706,110.02999
1725,111.44908
1742,112.5881
1758,113.68564
1777,115.07814
1795,116.17941
1813,117.52464
1831,118.73486
1850,119.88293
1868,121.17062
1885,122.37056
1902,123.58842
1921,124.80372
1937,125.98946
1953,127.13026
1972,128.42847
1989,129.5262
2007,130.79417
2023,132.01295
2039,133.05357
2060,134.51146
2072,135.42816
2092,136.70906
2108,137.88316
2120,138.82967
2143,140.30562
2152,141.02632
2170,142.26741
2184,143.24474
2195,143.98862
2214,145.26555
2222,145.74507
2236,146.77133
2250,147.68369
2260,148.27486
2274,149.35329
2280,149.68697
2293,150.67355
2303,151.36264
2311,151.90103
2329,153.01761
2335,153.38417
2348,154.45657
2358,155.08582
2369,155.70354
2384,156.72922
2391,157.25522
2404,158.22406
2418,159.0103
2425,159.67184
2440,160.6149
2451,161.28278
2465,162.14427
2477,162.91658
2486,163.66299
2499,164.46986
2510,165.31592
2519,166.00647
2531,166.81093
2544,167.5988
2550,168.24211
2567,169.18938
2575,169.85323
2589,170.70511
2600,171.54016
2611,172.12329
2624,173.22147
2633,173.67192
2644,174.58661
2657,175.39088
2664,175.93918
2682,177.0024
2686,177.41121
2700,178.34543
2711,179.14409
2718,179.62173
2735,180.72054
2742,181.18617
