Time (s),"Tensile Strain, Extensometer Measurement, microstrain"
0,1
0.1,-1
0.2,57
0.3,95
0.4,130
0.5,162
0.6,200
0.7,235
0.8,270
0.9,311
1,348
1.1,383
1.2,414
1.3,449
1.4,486
1.5,522
1.6,563
1.7,592
1.8,628
1.9,664
2,694
2.1,730
2.2,761
2.3,797
2.4,828
2.5,865
2.6,897
2.7,927
2.8,959
2.9,994
3,1032
3.1,1064
3.2,1092
3.3,1128
3.4,1164
3.5,1192
3.6,1220
3.7,1255
3.8,1289
3.9,1321
4,1349
4.1,1381
4.2,1416
4.3,1445
4.4,1480
4.5,1514
4.6,1546
4.7,1579
4.8,1613
4.9,1644
5,1676
5.1,1702
5.2,1739
5.3,1773
5.4,1801
5.5,1835
5.6,1864
5.7,1898
5.8,1927
5.9,1956
6,1985
6.1,2016
6.2,2044
6.3,2063
6.4,2085
6.5,2111
6.6,2137
6.7,2165
6.8,2195
6.9,2225
7,2251
7.1,2282
7.2,2309
7.3,2336
7.4,2361
7.5,2389
7.6,2419
7.7,2449
7.8,2473
7.9,2500
8,2528
8.1,2558
8.2,2583
8.3,2610
8.4,2641
8.5,2669
8.6,2697
8.7,2727
8.8,2750
8.9,2779
9,2805
9.1,2837
9.2,2864
9.3,2892
9.4,2919
9.5,2949
9.6,2979
9.7,3002
9.8,3041
9.9,3076
10,3109
10.1,3138
10.2,3168
10.3,3198
10.4,3229
10.5,3260
10.6,3292
10.7,3326
10.8,3360
10.9,3393
11,3430
11.1,3464
11.2,3499
11.3,3537
11.4,3577
11.5,3621
11.6,3659
11.7,3698
11.8,3740
11.9,3783
12,3822
12.1,3864
12.2,3912
12.3,3957
12.4,4002
12.5,4050
12.6,4096
12.7,4147
12.8,4197
12.9,4249
13,4303
13.1,4354
13.2,4409
13.3,4461
13.4,4512
13.5,4569
13.6,4622
13.7,4685
13.8,4745
13.9,4801
14,4858
14.1,4915
14.2,4975
14.3,5034
14.4,5092
14.5,5155
14.6,5220
14.7,5284
14.8,5343
14.9,5401
15,5467
15.1,5528
15.2,5591
15.3,5656
15.4,5721
15.5,5790
15.6,5849
15.7,5912
15.8,5977
15.9,6042
16,6108
16.1,6179
16.2,6245
16.3,6311
16.4,6373
16.5,6441
16.6,6508
16.7,6573
16.8,6639
16.9,6710
17,6785
17.1,6849
17.2,6912
17.3,6981
17.4,7050
17.5,7119
17.6,7189
17.7,7259
17.8,7329
17.9,7396
18,7464
18.1,7533
18.2,7600
18.3,7667
18.4,7743
18.5,7819
18.6,7886
18.7,7952
18.8,8021
18.9,8093
19,8163
19.1,8234
19.2,8307
19.3,8382
19.4,8449
19.5,8516
19.6,8589
19.7,8660
19.8,8732
19.9,8805
20,8879
20.1,8951
20.2,9017
20.3,9087
20.4,9159
20.5,9234
20.6,9302
20.7,9378
20.8,9452
20.9,9523
21,9589
21.1,9660
21.2,9733
21.3,9809
21.4,9881
21.5,9954
21.6,10026
21.7,10100
21.8,10165
21.9,10237
22,10311
22.1,10386
22.2,10461
22.3,10533
22.4,10604
22.5,10674
22.6,10745
22.7,10818
22.8,10892
22.9,10963
23,11037
23.1,11113
23.2,11186
23.3,11255
23.4,11325
23.5,11400
23.6,11478
23.7,11551
23.8,11625
23.9,11693
24,11766
24.1,11838
24.2,11910
24.3,11985
24.4,12059
24.5,12133
24.6,12206
24.7,12278
24.8,12350
24.9,12422
25,12495
25.1,12570
25.2,12644
25.3,12716
25.4,12789
25.5,12863
25.6,12935
25.7,13008
25.8,13080
25.9,13155
26,13232
26.1,13303
26.2,13375
26.3,13449
26.4,13525
26.5,13595
26.6,13666
26.7,13741
26.8,13817
26.9,13889
27,13963
27.1,14036
27.2,14107
27.3,14181
27.4,14254
27.5,14329
27.6,14403
27.7,14474
27.8,14551
27.9,14622
28,14693
28.1,14763
28.2,14836
28.3,14914
28.4,14989
28.5,15058
28.6,15148
28.7,15225
28.8,15297
28.9,15369
29,15445
29.1,15520
29.2,15594
29.3,15667
29.4,15737
29.5,15810
29.6,15881
29.7,15955
29.8,16033
29.9,16110
30,16183
30.1,16267
30.2,16340
30.3,16414
30.4,16483
30.5,16560
30.6,16640
30.7,16715
30.8,16787
30.9,16867
31,16939
31.1,17012
31.2,17086
31.3,17163
31.4,17246
31.5,17321
31.6,17398
31.7,17482
31.8,17556
31.9,17629
32,17704
32.1,17781
32.2,17866
32.3,17936
32.4,18007
32.5,18083
32.6,18158
32.7,18228
32.8,18301
32.9,18376
33,18451
33.1,18521
33.2,18593
33.3,18667
33.4,18738
33.5,18812
33.6,18885
33.7,18957
33.8,19028
33.9,19100
34,19176
34.1,19249
34.2,19321
34.3,19393
34.4,19468
34.5,19546
34.6,19614
34.7,19682
34.8,19757
34.9,19832
35,19900
35.1,19972
35.2,20044
35.3,20121
35.4,20192
35.5,20263
35.6,20336
35.7,20405
35.8,20478
35.9,20552
36,20623
36.1,20696
36.2,20768
36.3,20842
36.4,20910
36.5,20978
36.6,21051
36.7,21124
36.8,21199
36.9,21271
37,21339
37.1,21412
37.2,21485
37.3,21557
37.4,21625
37.5,21700
37.6,21775
37.7,21846
37.8,21916
37.9,21983
38,22053
38.1,22128
38.2,22198
38.3,22272
38.4,22347
38.5,22413
38.6,22481
38.7,22553
38.8,22628
38.9,22700
39,22787
39.1,22862
39.2,22932
39.3,22998
39.4,23066
39.5,23141
39.6,23214
39.7,23286
39.8,23359
39.9,23434
40,23505
40.1,23575
40.2,23641
40.3,23719
40.4,23786
40.5,23859
40.6,23932
40.7,24004
40.8,24071
40.9,24141
41,24211
41.1,24285
41.2,24357
41.3,24431
41.4,24504
41.5,24579
41.6,24644
41.7,24710
41.8,24782
41.9,24858
42,24930
42.1,24998
42.2,25069
42.3,25139
42.4,25211
42.5,25275
42.6,25351
42.7,25427
42.8,25497
42.9,25568
43,25637
43.1,25706
43.2,25773
43.3,25846
43.4,25920
43.5,25992
43.6,26064
43.7,26131
43.8,26202
43.9,26273
44,26340
44.1,26412
44.2,26486
44.3,26559
44.4,26628
44.5,26700
44.6,26769
44.7,26839
44.8,26909
44.9,26989
45,27073
45.1,27146
45.2,27216
45.3,27285
45.4,27356
45.5,27424
45.6,27497
45.7,27570
45.8,27640
45.9,27708
46,27778
46.1,27849
46.2,27918
46.3,27986
46.4,28058
46.5,28128
46.6,28202
46.7,28272
46.8,28339
46.9,28409
47,28481
47.1,28552
47.2,28621
47.3,28692
47.4,28763
47.5,28834
47.6,28902
47.7,28971
47.8,29041
47.9,29114
48,29184
48.1,29255
48.2,29328
48.3,29396
48.4,29464
48.5,29538
48.6,29609
48.7,29671
48.8,29744
48.9,29818
49,29890
49.1,29956
49.2,30022
49.3,30098
49.4,30169
49.5,30235
49.6,30308
49.7,30378
49.8,30448
49.9,30517
50,30590
50.1,30657
50.2,30729
50.3,30797
50.4,30872
50.5,30943
50.6,31010
50.7,31078
50.8,31149
50.9,31221
51,31292
51.1,31361
51.2,31434
51.3,31510
51.4,31578
51.5,31649
51.6,31724
51.7,31796
51.8,31867
51.9,31937
52,32014
52.1,32086
52.2,32158
52.3,32232
52.4,32304
52.5,32375
52.6,32445
52.7,32519
52.8,32596
52.9,32669
53,32738
53.1,32812
53.2,32886
53.3,32956
53.4,33025
53.5,33101
53.6,33175
53.7,33249
53.8,33316
53.9,33389
54,33463
54.1,33538
54.2,33605
54.3,33681
54.4,33754
54.5,33823
54.6,33893
54.7,33964
54.8,34036
54.9,34144
55,34235
55.1,34312
55.2,34383
55.3,34449
55.4,34519
55.5,34594
55.6,34667
55.7,34736
55.8,34808
55.9,34880
56,34953
56.1,35018
56.2,35087
56.3,35157
56.4,35231
56.5,35302
56.6,35373
56.7,35441
56.8,35512
56.9,35581
57,35653
57.1,35723
57.2,35793
57.3,35865
57.4,35935
57.5,36007
57.6,36073
57.7,36140
57.8,36211
57.9,36282
58,36354
58.1,36422
58.2,36493
58.3,36562
58.4,36632
58.5,36698
58.6,36769
58.7,36842
58.8,36908
58.9,36981
59,37061
59.1,37125
59.2,37194
59.3,37264
59.4,37335
59.5,37403
59.6,37472
59.7,37538
59.8,37611
59.9,37678
60,37745
60.1,37813
60.2,37887
60.3,37958
60.4,38026
60.5,38091
60.6,38161
60.7,38231
60.8,38296
60.9,38364
61,38438
61.1,38508
61.2,38575
61.3,38648
61.4,38715
61.5,38783
61.6,38855
61.7,38943
61.8,39044
61.9,39118
62,39186
62.1,39257
62.2,39326
62.3,39392
62.4,39461
62.5,39533
62.6,39606
62.7,39673
62.8,39742
62.9,39810
63,39881
63.1,39947
63.2,40017
63.3,40088
63.4,40161
63.5,40228
63.6,40298
63.7,40364
63.8,40431
63.9,40498
64,40569
64.1,40644
64.2,40712
64.3,40778
64.4,40847
64.5,40918
64.6,40984
64.7,41049
64.8,41121
64.9,41201
65,41273
65.1,41338
65.2,41408
65.3,41477
65.4,41544
65.5,41615
65.6,41684
65.7,41751
65.8,41822
65.9,41889
66,41961
66.1,42028
66.2,42094
66.3,42167
66.4,42236
66.5,42308
66.6,42376
66.7,42443
66.8,42512
66.9,42583
67,42649
67.1,42726
67.2,42830
67.3,42901
67.4,42967
67.5,43033
67.6,43103
67.7,43177
67.8,43243
67.9,43315
68,43384
68.1,43455
68.2,43526
68.3,43592
68.4,43662
68.5,43729
68.6,43803
68.7,43874
68.8,43945
68.9,44012
69,44079
69.1,44151
69.2,44221
69.3,44294
69.4,44360
69.5,44430
69.6,44503
69.7,44572
69.8,44651
69.9,44720
70,44791
70.1,44860
70.2,44930
70.3,45002
70.4,45073
70.5,45141
70.6,45210
70.7,45279
70.8,45349
70.9,45420
71,45491
71.1,45563
71.2,45632
71.3,45696
71.4,45767
71.5,45839
71.6,45910
71.7,45978
71.8,46049
71.9,46122
72,46191
72.1,46259
72.2,46329
72.3,46401
72.4,46473
72.5,46543
72.6,46616
72.7,46685
72.8,46753
72.9,46824
73,46915
73.1,46984
73.2,47056
73.3,47129
73.4,47198
73.5,47269
73.6,47335
73.7,47404
73.8,47476
73.9,47549
74,47619
74.1,47690
74.2,47757
74.3,47831
74.4,47900
74.5,47966
74.6,48037
74.7,48109
74.8,48178
74.9,48251
75,48322
75.1,48392
75.2,48460
75.3,48531
75.4,48602
75.5,48672
75.6,48747
75.7,48815
75.8,48890
75.9,48955
76,49021
76.1,49094
76.2,49169
76.3,49250
76.4,49325
76.5,49401
76.6,49471
76.7,49542
76.8,49609
76.9,49681
77,49755
77.1,49825
77.2,49896
77.3,49984
77.4,50050
77.5,50120
77.6,50190
77.7,50264
77.8,50336
77.9,50405
78,50475
78.1,50548
78.2,50619
78.3,50685
78.4,50756
78.5,50829
78.6,50901
78.7,50978
78.8,51050
78.9,51120
79,51193
79.1,51261
79.2,51333
79.3,51404
79.4,51475
79.5,51547
79.6,51615
79.7,51687
79.8,51755
79.9,51822
80,51895
80.1,51970
80.2,52039
80.3,52107
80.4,52194
80.5,52274
80.6,52343
80.7,52414
80.8,52488
80.9,52563
81,52630
81.1,52698
81.2,52770
81.3,52841
81.4,52910
81.5,52981
81.6,53053
81.7,53126
81.8,53197
81.9,53266
82,53336
82.1,53406
82.2,53475
82.3,53549
82.4,53620
82.5,53690
82.6,53760
82.7,53830
82.8,53900
82.9,53969
83,54038
83.1,54108
83.2,54185
83.3,54258
83.4,54328
83.5,54396
83.6,54464
83.7,54539
83.8,54606
83.9,54679
84,54747
84.1,54823
84.2,54887
84.3,54960
84.4,55028
84.5,55098
84.6,55168
84.7,55241
84.8,55316
84.9,55383
85,55449
85.1,55521
85.2,55595
85.3,55662
85.4,55731
85.5,55806
85.6,55879
85.7,55946
85.8,56011
85.9,56084
86,56153
86.1,56224
86.2,56294
86.3,56369
86.4,56437
86.5,56506
86.6,56576
86.7,56649
86.8,56715
86.9,56785
87,56858
87.1,56932
87.2,57001
87.3,57067
87.4,57137
87.5,57210
87.6,57282
87.7,57350
87.8,57424
87.9,57502
88,57599
88.1,57677
88.2,57746
88.3,57816
88.4,57891
88.5,57960
88.6,58032
88.7,58102
88.8,58171
88.9,58238
89,58310
89.1,58379
89.2,58453
89.3,58525
89.4,58597
89.5,58668
89.6,58735
89.7,58804
89.8,58877
89.9,58948
90,59018
90.1,59087
90.2,59158
90.3,59230
90.4,59298
90.5,59366
90.6,59441
90.7,59510
90.8,59585
90.9,59655
91,59727
91.1,59797
91.2,59869
91.3,59949
91.4,60028
91.5,60099
91.6,60171
91.7,60243
91.8,60318
91.9,60387
92,60456
92.1,60530
92.2,60608
92.3,60685
92.4,60756
92.5,60827
92.6,60898
92.7,60966
92.8,61034
92.9,61108
93,61178
93.1,61249
93.2,61323
93.3,61395
93.4,61463
93.5,61533
93.6,61604
93.7,61679
93.8,61750
93.9,61820
94,61893
94.1,61964
94.2,62035
94.3,62102
94.4,62193
94.5,62271
94.6,62345
94.7,62420
94.8,62491
94.9,62560
95,62631
95.1,62701
95.2,62772
95.3,62846
95.4,62916
95.5,62989
95.6,63061
95.7,63133
95.8,63200
95.9,63271
96,63344
96.1,63419
96.2,63488
96.3,63561
96.4,63631
96.5,63706
96.6,63771
96.7,63843
96.8,63917
96.9,63993
97,64059
97.1,64133
97.2,64202
97.3,64273
97.4,64343
97.5,64416
97.6,64488
97.7,64562
97.8,64633
97.9,64703
98,64774
98.1,64842
98.2,64912
98.3,64986
98.4,65060
98.5,65131
98.6,65198
98.7,65273
98.8,65346
98.9,65415
99,65484
99.1,65558
99.2,65631
99.3,65704
99.4,65774
99.5,65843
99.6,65915
99.7,65988
99.8,66058
99.9,66131
100,66204
100.1,66276
100.2,66345
100.3,66416
100.4,66488
100.5,66558
100.6,66633
100.7,66705
100.8,66778
100.9,66846
101,66918
101.1,66991
101.2,67062
101.3,67132
101.4,67206
101.5,67277
101.6,67353
101.7,67422
101.8,67491
101.9,67566
102,67638
102.1,67707
102.2,67780
102.3,67853
102.4,67924
102.5,67992
102.6,68065
102.7,68137
102.8,68208
102.9,68279
103,68356
103.1,68430
103.2,68498
103.3,68566
103.4,68640
103.5,68712
103.6,68785
103.7,68856
103.8,68930
103.9,69001
104,69074
104.1,69144
104.2,69219
104.3,69296
104.4,69371
104.5,69445
104.6,69520
104.7,69597
104.8,69669
104.9,69741
105,69816
105.1,69888
105.2,69959
105.3,70032
105.4,70104
105.5,70176
105.6,70243
105.7,70316
105.8,70389
105.9,70462
106,70533
106.1,70606
106.2,70680
106.3,70750
106.4,70820
106.5,70889
106.6,70963
106.7,71036
106.8,71106
106.9,71180
107,71254
107.1,71328
107.2,71405
107.3,71482
107.4,71554
107.5,71625
107.6,71699
107.7,71773
107.8,71847
107.9,71914
108,71985
108.1,72057
108.2,72133
108.3,72203
108.4,72273
108.5,72347
108.6,72419
108.7,72489
