Time (s) Offsetted,Engineering Strain (10^6)
0,24
0.1,33
0.2,41
0.3,56
0.4,80
0.5,104
0.6,128
0.7,150
0.8,176
0.9,200
1,224
1.1,249
1.2,275
1.3,300
1.4,326
1.5,351
1.6,377
1.7,403
1.8,429
1.9,457
2,484
2.1,510
2.2,531
2.3,548
2.4,572
2.5,596
2.6,618
2.7,641
2.8,665
2.9,685
3,705
3.1,724
3.2,746
3.3,769
3.4,791
3.5,812
3.6,834
3.7,855
3.8,877
3.9,897
4,919
4.1,938
4.2,960
4.3,982
4.4,1004
4.5,1023
4.6,1042
4.7,1064
4.8,1085
4.9,1105
5,1126
5.1,1147
5.2,1168
5.3,1188
5.4,1206
5.5,1226
5.6,1247
5.7,1268
5.8,1288
5.9,1307
6,1328
6.1,1346
6.2,1365
6.3,1385
6.4,1404
6.5,1424
6.6,1444
6.7,1465
6.8,1483
6.9,1500
7,1519
7.1,1541
7.2,1561
7.3,1578
7.4,1597
7.5,1618
7.6,1637
7.7,1653
7.8,1671
7.9,1691
8,1713
8.1,1729
8.2,1749
8.3,1768
8.4,1785
8.5,1803
8.6,1823
8.7,1842
8.8,1862
8.9,1879
9,1899
9.1,1919
9.2,1935
9.3,1952
9.4,1974
9.5,1993
9.6,2011
9.7,2027
9.8,2048
9.9,2067
10,2084
10.1,2103
10.2,2124
10.3,2142
10.4,2161
10.5,2180
10.6,2199
10.7,2216
10.8,2234
10.9,2255
11,2274
11.1,2291
11.2,2309
11.3,2329
11.4,2348
11.5,2365
11.6,2381
11.7,2402
11.8,2422
11.9,2440
12,2457
12.1,2475
12.2,2494
12.3,2512
12.4,2527
12.5,2548
12.6,2567
12.7,2584
12.8,2603
12.9,2621
13,2640
13.1,2656
13.2,2675
13.3,2696
13.4,2714
13.5,2730
13.6,2750
13.7,2769
13.8,2787
13.9,2802
14,2821
14.1,2843
14.2,2862
14.3,2878
14.4,2896
14.5,2915
14.6,2934
14.7,2952
14.8,2972
14.9,2991
15,3012
15.1,3030
15.2,3050
15.3,3068
15.4,3086
15.5,3105
15.6,3127
15.7,3148
15.8,3168
15.9,3188
16,3210
16.1,3231
16.2,3251
16.3,3271
16.4,3296
16.5,3319
16.6,3341
16.7,3361
16.8,3385
16.9,3410
17,3433
17.1,3457
17.2,3481
17.3,3508
17.4,3534
17.5,3559
17.6,3586
17.7,3612
17.8,3638
17.9,3667
18,3699
18.1,3727
18.2,3755
18.3,3785
18.4,3817
18.5,3848
18.6,3878
18.7,3912
18.8,3948
18.9,3984
19,4016
19.1,4051
19.2,4088
19.3,4125
19.4,4163
19.5,4202
19.6,4242
19.7,4282
19.8,4322
19.9,4362
20,4403
20.1,4444
20.2,4488
20.3,4535
20.4,4579
20.5,4621
20.6,4666
20.7,4712
20.8,4759
20.9,4804
21,4852
21.1,4903
21.2,4952
21.3,4997
21.4,5045
21.5,5095
21.6,5144
21.7,5194
21.8,5245
21.9,5297
22,5347
22.1,5397
22.2,5448
22.3,5500
22.4,5550
22.5,5602
22.6,5658
22.7,5712
22.8,5763
22.9,5813
23,5867
23.1,5921
23.2,5973
23.3,6026
23.4,6083
23.5,6138
23.6,6192
23.7,6243
23.8,6297
23.9,6353
24,6407
24.1,6462
24.2,6519
24.3,6573
24.4,6626
24.5,6681
24.6,6737
24.7,6789
24.8,6843
24.9,6901
25,6957
25.1,7012
25.2,7064
25.3,7118
25.4,7174
25.5,7230
25.6,7283
25.7,7339
25.8,7395
25.9,7451
26,7503
26.1,7557
26.2,7613
26.3,7668
