True Stress (Mpa),True Strain (microstrain)
-0.003600004,0.9999995
0.187499813,-1.0000005
3.599205143,56.99837556
6.042173952,94.99548779
7.990938687,129.9915507
10.18965046,161.9868794
12.3554706,199.9800027
14.45579631,234.9723918
16.67750171,269.9635566
18.82775361,310.9516495
21.04912255,347.939462
23.22319108,382.9266742
25.36989879,413.9143256
27.44131562,448.8992297
29.66761146,485.8819402
31.98598797,521.8638054
34.266181,562.841575
36.44556301,591.8248371
38.6656668,627.8028905
40.86851869,663.7796495
43.14982521,693.7592934
45.41472857,729.7336796
47.6927666,760.7105863
49.9812033,796.6825642
52.30927625,827.6573971
54.71538791,864.6261031
56.9588463,896.5979359
59.0944298,926.5706008
61.32365304,958.5404533
63.77382824,993.5063091
66.17271984,1031.467854
68.49189792,1063.434353
70.67178941,1091.404202
73.17314631,1127.364286
75.55874813,1163.323077
77.74185797,1191.290132
79.96413737,1219.256405
82.26090804,1254.213146
84.62994757,1288.169953
86.95291326,1320.128247
89.26004959,1348.090917
91.53663776,1380.047297
93.80053375,1414.998417
95.9611638,1443.956992
98.3878989,1478.905879
100.7450975,1512.855057
103.0498692,1544.806172
105.2614458,1577.75469
107.6700922,1611.700513
110.0165704,1642.650111
112.1768939,1674.597079
114.2454153,1700.553239
116.633774,1737.48969
119.1120118,1771.430091
121.2853422,1799.380144
123.4555259,1833.318444
125.6657051,1862.264908
128.0704172,1896.201074
130.1850842,1925.145717
132.1567941,1954.089523
134.1400405,1983.032491
136.310449,2013.970599
138.3247591,2041.913874
139.5727458,2060.874938
141.1479812,2082.829404
142.9930224,2108.77497
144.8344512,2134.719863
146.8370154,2162.659765
149.0426321,2192.594507
151.0530469,2222.528353
152.8770534,2248.470295
154.9029838,2279.400192
156.9503635,2306.338356
158.8071088,2333.275794
160.5231023,2358.217219
162.4792378,2386.150876
164.6573449,2416.078929
166.5653219,2446.006087
168.302385,2469.947168
170.169563,2496.880199
172.1258369,2524.809983
173.970481,2554.733887
175.6928454,2579.669789
177.589502,2606.599865
179.5821271,2637.518688
181.4157096,2665.444544
183.2265328,2693.369621
185.1176429,2723.288482
186.8610587,2746.225668
188.5197445,2775.145719
190.3617712,2801.073329
192.3605831,2832.983311
194.1077369,2859.906566
195.7573979,2887.826213
197.4202926,2914.747992
199.304922,2944.660229
200.9676043,2974.571572
202.467087,2997.502996
204.2062084,3036.385512
206.0276978,3071.278791
207.7714594,3104.177053
209.2740477,3133.086754
210.8061248,3162.992461
212.3352836,3192.897274
213.9559401,3223.797975
215.3833682,3254.69772
216.9706236,3286.593231
218.4832664,3320.481096
219.9286858,3354.367813
221.2664183,3387.256763
222.8504642,3424.130967
224.1021099,3458.014171
225.3201462,3492.892742
226.6619778,3530.759526
228.0935827,3570.617751
229.4384993,3614.459962
230.6088215,3652.322144
231.6838101,3691.179208
232.833051,3733.023589
234.0960478,3775.862451
235.107359,3814.714715
236.0969672,3856.553927
237.2116559,3904.368026
238.319915,3949.191667
