theta , u , Pterm , Iterm , Dterm(100Hz)
-5.1750 , 84217.10 , 7762.5458 , 60368.1445 , 16086.4033
-6.9665 , 88871.58 , 10449.7050 , 60507.4726 , 17914.3945
-8.7945 , 92155.07 , 13191.7050 , 60683.3593 , 18279.9960
-10.6590 , 95530.70 , 15988.5458 , 60896.5429 , 18645.6113
-12.4870 , 98156.83 , 18730.5468 , 61146.2812 , 18280.0019
-14.2785 , 100763.96 , 21417.7070 , 61431.8515 , 17914.4003
-16.1065 , 104193.71 , 24159.7089 , 61753.9804 , 18280.0117
-17.8614 , 106452.03 , 26792.0273 , 62111.2070 , 17548.7890
-19.5431 , 108634.32 , 29314.6640 , 62502.0664 , 16817.5878
-21.1883 , 111160.32 , 31782.4667 , 62925.8359 , 16452.0078
-22.7604 , 113242.43 , 34140.5859 , 63381.0429 , 15720.8066
-24.0766 , 113139.00 , 36114.8281 , 63862.5703 , 13161.6025
-25.2465 , 113936.41 , 37869.7070 , 64367.5000 , 11699.1992
-26.3067 , 114956.10 , 39460.0664 , 64893.6328 , 10602.3974
-27.2938 , 116251.48 , 40940.7500 , 65439.5078 , 9871.2158
-28.1347 , 116613.08 , 42202.0703 , 66002.1953 , 8408.8134
-28.7928 , 116348.07 , 43189.1914 , 66578.0546 , 6580.8105
-29.3412 , 116660.68 , 44011.7929 , 67164.8750 , 5484.0087
-29.7068 , 115975.22 , 44560.1953 , 67759.0156 , 3656.0058
-29.9262 , 115440.39 , 44889.2343 , 68357.5468 , 2193.6035
-29.9627 , 114266.48 , 44944.0742 , 68956.7968 , 365.6006
-29.8530 , 113236.61 , 44779.5546 , 69553.8593 , -1096.8017
-29.5971 , 111982.27 , 44395.6757 , 70145.7968 , -2559.2041
-29.1584 , 110079.36 , 43737.5937 , 70728.9687 , -4387.2070
-28.5734 , 108310.99 , 42860.1523 , 71300.4375 , -5849.6093
-27.8788 , 106729.79 , 41818.1914 , 71858.0156 , -6946.4111
-27.0379 , 104546.83 , 40556.8671 , 72398.7734 , -8408.8134
-26.0508 , 102124.76 , 39076.1875 , 72919.7890 , -9871.2158
-24.9906 , 100303.03 , 37485.8281 , 73419.6015 , -10602.3974
-23.8206 , 97927.75 , 35730.9453 , 73896.0078 , -11699.1992
-22.5410 , 95362.39 , 33811.5468 , 74346.8359 , -12796.0009
-21.1883 , 93025.87 , 31782.4667 , 74770.6015 , -13527.2031
-19.7990 , 90972.32 , 29698.5449 , 75166.5781 , -13892.8037
-18.3366 , 88414.25 , 27504.9453 , 75533.3125 , -14624.0048
-16.8377 , 86136.99 , 25256.5078 , 75870.0625 , -14989.5859
-15.3022 , 83774.14 , 22953.2265 , 76176.1093 , -15355.2060
-13.7301 , 81325.01 , 20595.1054 , 76450.7109 , -15720.8066
-12.1580 , 79210.06 , 18236.9863 , 76693.8671 , -15720.7958
-10.5493 , 76642.47 , 15824.0244 , 76904.8515 , -16086.4072
-8.9407 , 74408.33 , 13411.0634 , 77083.6718 , -16086.4072
-7.3686 , 72563.20 , 11052.9453 , 77231.0390 , -15720.7919
-5.7965 , 70321.00 , 8694.8242 , 77346.9687 , -15720.8027
-4.2610 , 68468.53 , 6391.5444 , 77432.1875 , -15355.2021
-2.7621 , 66640.94 , 4143.1040 , 77487.4375 , -14989.6025
-1.2997 , 64838.94 , 1949.5040 , 77513.4296 , -14624.0009
0.1627 , 62642.08 , -244.0959 , 77510.1718 , -14624.0009
1.5155 , 61679.49 , -2273.1757 , 77479.8593 , -13527.1992
2.8316 , 60014.20 , -4247.4165 , 77423.2265 , -13161.6074
4.0381 , 59220.53 , -6057.1362 , 77342.4609 , -12064.7958
5.1715 , 58148.26 , -7757.1752 , 77239.0312 , -11333.5947
6.2317 , 57164.46 , -9347.5351 , 77114.3984 , -10602.4033
7.1823 , 56691.77 , -10773.3759 , 76970.7500 , -9505.6015
8.0597 , 55945.62 , -12089.5361 , 76809.5546 , -8774.4003
8.8275 , 55714.22 , -13241.1757 , 76633.0000 , -7677.6030
9.4855 , 55634.18 , -14228.2978 , 76443.2890 , -6580.8105
10.0339 , 55707.71 , -15050.8994 , 76242.6171 , -5484.0087
10.5092 , 55515.80 , -15763.8203 , 76032.4296 , -4752.8076
10.8748 , 55846.71 , -16312.2207 , 75814.9375 , -3656.0058
11.1673 , 55915.85 , -16750.9414 , 75591.5937 , -2924.8046
11.3867 , 56090.27 , -17079.9824 , 75363.8593 , -2193.6035
11.4963 , 56792.64 , -17244.5019 , 75133.9375 , -1096.8017
11.5329 , 57238.33 , -17299.3417 , 74903.2734 , -365.6006
11.4963 , 57794.44 , -17244.5019 , 74673.3437 , 365.6006
11.3867 , 58462.43 , -17079.9824 , 74445.6171 , 1096.8017
11.2039 , 59243.76 , -16805.7812 , 74221.5390 , 1828.0029
10.9114 , 60561.05 , -16367.0615 , 74003.3125 , 2924.8046
10.5458 , 61629.74 , -15818.6601 , 73792.3984 , 3656.0058
10.1071 , 62816.89 , -15160.5791 , 73590.2578 , 4387.2070
9.5587 , 64545.12 , -14337.9775 , 73399.0859 , 5484.0087
8.9737 , 65608.69 , -13460.5361 , 73219.6093 , 5849.6093
8.3522 , 66739.52 , -12528.2568 , 73052.5703 , 6215.2001
7.6575 , 68359.52 , -11486.2958 , 72899.4140 , 6946.4018
