 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 11   # Spanwise = 41     First strip =  1
     Surface area =   14.000000       Ave. chord =    1.000000
     CLsurf  =   1.29009     Clsurf  =   0.00020
     CYsurf  =   0.00026     Cmsurf  =  -0.05675
     CDsurf  =   0.03753     Cnsurf  =   0.00002
     CDisurf =   0.03753     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.92150     CDsurf  =   0.02681
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
     1  -5.0000   1.0000   0.0218   0.0347   0.0254   0.0347   0.0347   0.0000   0.0000  -0.0085  -0.0172    0.495
     2  -5.0000   1.0000   0.0654   0.1021   0.0191   0.1021   0.1021  -0.0000   0.0000  -0.0240  -0.0495    0.485
     3  -5.0000   1.0000   0.1085   0.1654   0.0106   0.1654   0.1654  -0.0004   0.0000  -0.0365  -0.0778    0.470
     4  -5.0000   1.0000   0.1510   0.2244   0.0014   0.2244   0.2244  -0.0011   0.0000  -0.0458  -0.1019    0.454
     5  -5.0000   1.0000   0.1926   0.2804  -0.0081   0.2804   0.2804  -0.0023   0.0000  -0.0528  -0.1229    0.438
     6  -5.0000   1.0000   0.2331   0.3366  -0.0175   0.3366   0.3366  -0.0042   0.0000  -0.0583  -0.1424    0.423
     7  -5.0000   1.0000   0.2723   0.3986  -0.0265   0.3986   0.3986  -0.0068   0.0000  -0.0634  -0.1631    0.409
     8  -5.0000   1.0000   0.3098   0.4760  -0.0345   0.4760   0.4760  -0.0107   0.0000  -0.0694  -0.1884    0.396
     9  -5.0000   1.0000   0.3455   0.5895  -0.0382   0.5895   0.5895  -0.0174   0.0000  -0.0767  -0.2241    0.380
    10  -5.0000   1.0000   0.3000   0.8023   0.0358   0.8023   0.8023   0.0074   0.0000  -0.0729  -0.2735    0.341
    11  -4.8015   1.0000   0.4045   0.9745   0.0599   0.9745   0.9745   0.0343   0.0000  -0.0619  -0.3055    0.313
    12  -4.3823   1.0000   0.4331   1.0191   0.0467   1.0191   1.0191   0.0260   0.0000  -0.0574  -0.3122    0.306
    13  -3.9358   1.0000   0.4592   1.0826   0.0443   1.0826   1.0826   0.0249   0.0000  -0.0554  -0.3260    0.301
    14  -3.4645   1.0000   0.4826   1.1543   0.0452   1.1543   1.1543   0.0265   0.0000  -0.0546  -0.3432    0.297
    15  -2.9713   1.0000   0.5031   1.2302   0.0477   1.2302   1.2302   0.0295   0.0000  -0.0543  -0.3618    0.294
    16  -2.4590   1.0000   0.5207   1.3078   0.0515   1.3078   1.3078   0.0337   0.0000  -0.0542  -0.3811    0.291
    17  -1.9306   1.0000   0.5353   1.3846   0.0568   1.3846   1.3846   0.0394   0.0000  -0.0541  -0.4002    0.289
    18  -1.3892   1.0000   0.5467   1.4579   0.0639   1.4579   1.4579   0.0466   0.0000  -0.0538  -0.4183    0.287
    19  -0.8380   1.0000   0.5549   1.5230   0.0735   1.5230   1.5230   0.0561   0.0000  -0.0533  -0.4340    0.285
    20  -0.2803   1.0000   0.5598   1.5708   0.0864   1.5708   1.5708   0.0688   0.0000  -0.0521  -0.4448    0.283
    21   0.2524   1.0000   0.5048   1.5719   0.0872   1.5719   1.5719   0.0696   0.0000  -0.0520  -0.4449    0.283
    22   0.7568   1.0000   0.5033   1.5311   0.0751   1.5311   1.5311   0.0577   0.0000  -0.0531  -0.4359    0.285
    23   1.2582   1.0000   0.4988   1.4742   0.0660   1.4742   1.4742   0.0487   0.0000  -0.0537  -0.4223    0.286
    24   1.7537   1.0000   0.4915   1.4091   0.0590   1.4091   1.4091   0.0416   0.0000  -0.0540  -0.4063    0.288
    25   2.2405   1.0000   0.4812   1.3398   0.0536   1.3398   1.3398   0.0359   0.0000  -0.0541  -0.3891    0.290
    26   2.7155   1.0000   0.4682   1.2689   0.0495   1.2689   1.2689   0.0315   0.0000  -0.0542  -0.3714    0.293
    27   3.1761   1.0000   0.4524   1.1984   0.0466   1.1984   1.1984   0.0281   0.0000  -0.0543  -0.3539    0.295
    28   3.6196   1.0000   0.4339   1.1299   0.0448   1.1299   1.1299   0.0258   0.0000  -0.0547  -0.3372    0.298
    29   4.0432   1.0000   0.4129   1.0656   0.0446   1.0656   1.0656   0.0249   0.0000  -0.0557  -0.3221    0.302
    30   4.4447   1.0000   0.3894   1.0091   0.0478   1.0091   1.0091   0.0266   0.0000  -0.0578  -0.3101    0.307
