#    s        x        y     Ue/Vinf    Dstar     Theta      Cf
   0.00000  1.00000  0.00126  0.96579  0.034712  0.009225  0.000000
   0.00729  0.99286  0.00273  0.96609  0.033486  0.009209  0.000001
   0.02022  0.98019  0.00531  0.96596  0.031302  0.009216  0.000003
   0.03545  0.96525  0.00828  0.96466  0.028797  0.009281  0.000022
   0.05243  0.94859  0.01153  0.96804  0.026067  0.009121  0.000088
   0.07045  0.93088  0.01490  0.97473  0.023357  0.008826  0.000163
   0.08901  0.91264  0.01829  0.98402  0.020822  0.008450  0.000251
   0.10782  0.89413  0.02164  0.99563  0.018534  0.008024  0.000353
   0.12674  0.87550  0.02492  1.00918  0.016515  0.007572  0.000468
   0.14570  0.85680  0.02813  1.02431  0.014755  0.007117  0.000596
   0.16470  0.83807  0.03126  1.04055  0.013243  0.006674  0.000733
   0.18370  0.81931  0.03430  1.05750  0.011949  0.006255  0.000876
   0.20271  0.80053  0.03726  1.07490  0.010841  0.005864  0.001022
   0.22172  0.78174  0.04014  1.09242  0.009894  0.005503  0.001171
   0.24073  0.76294  0.04293  1.10996  0.009078  0.005173  0.001319
   0.25973  0.74413  0.04563  1.12730  0.008375  0.004871  0.001466
   0.27874  0.72531  0.04825  1.14446  0.007761  0.004595  0.001612
   0.29773  0.70648  0.05079  1.16142  0.007220  0.004342  0.001755
   0.31672  0.68765  0.05323  1.17814  0.006742  0.004108  0.001897
   0.33570  0.66882  0.05559  1.19470  0.006313  0.003892  0.002037
   0.35466  0.64999  0.05785  1.21110  0.005926  0.003692  0.002176
   0.37362  0.63116  0.06003  1.22741  0.005574  0.003504  0.002315
   0.39255  0.61234  0.06210  1.24368  0.005252  0.003328  0.002454
   0.41147  0.59352  0.06408  1.25996  0.004954  0.003162  0.002594
   0.43038  0.57471  0.06596  1.27628  0.004677  0.003005  0.002734
   0.44926  0.55592  0.06774  1.29270  0.004419  0.002856  0.002877
   0.46811  0.53714  0.06941  1.30933  0.004175  0.002714  0.003024
   0.48694  0.51837  0.07097  1.32619  0.003945  0.002577  0.003174
   0.50574  0.49963  0.07241  1.34333  0.003727  0.002446  0.003330
   0.52451  0.48091  0.07374  1.36086  0.003519  0.002320  0.003492
   0.54324  0.46222  0.07495  1.37883  0.003320  0.002198  0.003662
   0.56192  0.44356  0.07603  1.39740  0.003128  0.002080  0.003844
   0.58054  0.42496  0.07697  1.41669  0.002941  0.001964  0.004039
   0.59908  0.40644  0.07778  1.43712  0.002757  0.001850  0.004257
   0.61747  0.38807  0.07843  1.45893  0.002573  0.001737  0.004504
   0.63572  0.36982  0.07890  1.47988  0.002411  0.001634  0.004739
   0.65389  0.35166  0.07916  1.50076  0.002260  0.001537  0.004973
   0.67198  0.33356  0.07922  1.52176  0.002119  0.001445  0.005211
   0.69001  0.31554  0.07907  1.54299  0.001986  0.001357  0.005453
   0.70796  0.29759  0.07871  1.56477  0.001859  0.001272  0.005706
   0.72583  0.27973  0.07812  1.58704  0.001738  0.001191  0.005967
   0.74361  0.26197  0.07729  1.61005  0.001622  0.001113  0.006240
   0.76130  0.24431  0.07623  1.63388  0.001510  0.001037  0.006527
   0.77888  0.22679  0.07492  1.65879  0.001403  0.000963  0.006832
   0.79633  0.20941  0.07335  1.68498  0.001298  0.000891  0.007159
   0.81363  0.19220  0.07151  1.71271  0.001197  0.000820  0.007510
   0.83075  0.17521  0.06939  1.74220  0.001098  0.000752  0.007890
   0.84766  0.15847  0.06699  1.77407  0.001002  0.000685  0.008313
