time,temperature,displacement,static_force,position,length,stress,strain,stiffness,relaxation_modulus,creep_compliance,gca_pressure,
0.046333,25.6692,4.2814,0.019335,0.21976,4.0988,0.0048338,0.10456,4516.094,4.6228,216318.4,0,
0.079667,25.6541,8.3103,0.032668,0.2238,4.1028,0.0081671,0.20296,3931.074,4.024,248510.8,0.06895,
0.113,25.6408,12.6012,0.046002,0.22809,4.1071,0.0115,0.30776,3650.594,3.7369,267604.2,0.06895,
0.14633,25.6311,17.0318,0.059335,0.23252,4.1116,0.014834,0.41597,3483.756,3.5661,280419.8,0.1379,
0.17967,25.6224,21.533,0.072668,0.23703,4.1161,0.018167,0.5259,3374.735,3.4545,289478.8,0.1379,
0.213,25.6106,26.0503,0.086002,0.24155,4.1206,0.0215,0.63622,3301.368,3.3794,295912,0,
0.24633,25.6015,30.5526,0.099335,0.24605,4.1251,0.024834,0.74618,3251.27,3.3281,300471.6,0.1379,
0.27967,25.5858,35.0637,0.11267,0.25057,4.1296,0.028167,0.85636,3213.235,3.2892,304028.3,0,
0.313,25.5705,39.5575,0.126,0.25507,4.1341,0.0315,0.96611,3185.274,3.2605,306697.1,0.06895,
0.34633,25.5518,44.1022,0.13933,0.25961,4.1387,0.034834,1.0771,3159.357,3.234,309213,0,
0.37967,25.5418,48.5971,0.15267,0.26411,4.1432,0.038167,1.1869,3141.5,3.2157,310970.7,0.06895,
0.413,25.5191,53.0853,0.166,0.2686,4.1477,0.0415,1.2965,3127.062,3.201,312406.5,0.06895,
0.44633,25.5041,57.5845,0.17933,0.27311,4.1522,0.044834,1.4064,3114.281,3.1879,313688.6,0.1379,
0.47967,25.4895,61.7743,0.19267,0.2773,4.1563,0.048167,1.5087,3118.893,3.1926,313224.7,0,
0.513,25.4726,67.5843,0.206,0.28311,4.1622,0.0515,1.6506,3048.062,3.1201,320503.4,0.20685,
0.54633,25.4576,80.8909,0.21933,0.29642,4.1755,0.054834,1.9756,2711.482,2.7756,360288,0.20685,
0.57967,25.4408,87.2414,0.23267,0.30278,4.1818,0.058167,2.1307,2666.94,2.73,366305.4,0,
0.613,25.4296,91.9944,0.246,0.30754,4.1866,0.0615,2.2468,2674.083,2.7373,365326.8,0.06895,
0.64633,25.4204,96.6568,0.25933,0.3122,4.1913,0.064834,2.3606,2683.045,2.7464,364106.6,0.1379,
0.67967,25.4149,101.2903,0.27267,0.31684,4.1959,0.068167,2.4738,2691.942,2.7556,362903.2,0,
0.713,25.4098,105.8827,0.286,0.32143,4.2005,0.0715,2.586,2701.114,2.7649,361670.8,0.06895,
0.74633,25.399,110.4492,0.29933,0.326,4.2051,0.074834,2.6975,2710.157,2.7742,360464,0.20685,
0.77967,25.3921,114.9812,0.31267,0.33054,4.2096,0.078167,2.8082,2719.3,2.7836,359252.2,0.20685,
0.813,25.3835,119.4877,0.326,0.33505,4.2141,0.081501,2.9182,2728.331,2.7928,358063,0,
0.84633,25.3794,123.9832,0.33934,0.33955,4.2186,0.084834,3.028,2736.948,2.8016,356935.6,0,
0.87967,25.3727,128.4639,0.35267,0.34403,4.2231,0.088167,3.1375,2745.277,2.8102,355852.7,0,
0.913,25.3694,132.9197,0.366,0.34849,4.2275,0.091501,3.2463,2753.562,2.8186,354782,0.06895,
0.94633,25.3689,137.3555,0.37934,0.35293,4.232,0.094834,3.3546,2761.711,2.827,353735.2,0,
0.97967,25.3612,141.803,0.39267,0.35738,4.2364,0.098167,3.4632,2769.123,2.8346,352788.3,0,
1.013,25.3547,146.2492,0.406,0.36183,4.2409,0.1015,3.5718,2776.107,2.8417,351900.8,0.06895,
1.0463,25.353,150.6983,0.41934,0.36628,4.2453,0.10483,3.6805,2782.625,2.8484,351076.6,0,
1.0797,25.3494,155.1535,0.43267,0.37074,4.2498,0.10817,3.7893,2788.662,2.8546,350316.5,0.06895,
1.113,25.3508,159.6022,0.446,0.37519,4.2542,0.1115,3.8979,2794.473,2.8605,349588,0.20685,
1.1463,25.3504,164.0531,0.45934,0.37965,4.2587,0.11483,4.0066,2799.932,2.8661,348906.4,0,
1.1797,25.3502,168.4989,0.47267,0.3841,4.2631,0.11817,4.1152,2805.188,2.8715,348252.6,0.06895,
1.213,25.3491,172.9279,0.486,0.38853,4.2676,0.1215,4.2234,2810.447,2.8769,347601.1,0.06895,
1.2463,25.3492,177.374,0.49934,0.39298,4.272,0.12483,4.332,2815.172,2.8817,347017.7,0,
1.2797,25.3515,181.838,0.51267,0.39745,4.2765,0.12817,4.441,2819.388,2.886,346498.8,0.06895,
1.3132,25.3514,186.2974,0.52601,0.40191,4.281,0.1315,4.5499,2823.474,2.8902,345997.4,0,
1.3465,25.3486,190.7545,0.53934,0.40637,4.2854,0.13483,4.6588,2827.397,2.8942,345517.2,0,
1.3798,25.3444,195.2173,0.55267,0.41084,4.2899,0.13817,4.7678,2831.063,2.898,345069.8,0.06895,
1.4132,25.336,199.6999,0.56601,0.41532,4.2944,0.1415,4.8772,2834.286,2.9013,344677.4,0.06895,
1.4465,25.3343,204.1866,0.57934,0.41981,4.2989,0.14483,4.9868,2837.302,2.9043,344311,0,
1.4798,25.3344,208.6641,0.59267,0.42429,4.3033,0.14817,5.0962,2840.315,2.9074,343945.8,0,
1.5132,25.3218,213.1492,0.60601,0.42878,4.3078,0.1515,5.2057,2843.105,2.9103,343608.3,0,
1.5465,25.3079,217.6492,0.61934,0.43329,4.3123,0.15483,5.3156,2845.585,2.9128,343308.8,0.1379,
1.5798,25.2964,222.1577,0.63267,0.4378,4.3168,0.15817,5.4257,2847.86,2.9152,343034.6,0,
1.6132,25.2835,226.6902,0.64601,0.44233,4.3214,0.1615,5.5364,2849.736,2.9171,342808.7,0,
1.6465,25.2817,231.2266,0.65934,0.44687,4.3259,0.16484,5.6472,2851.494,2.9189,342597.4,0.06895,
1.6798,25.2759,235.7634,0.67267,0.45142,4.3305,0.16817,5.758,2853.176,2.9206,342395.4,0.06895,
1.7132,25.2703,240.3019,0.68601,0.45596,4.335,0.1715,5.8689,2854.775,2.9222,342203.6,0.06895,
1.7465,25.266,244.8334,0.69934,0.46049,4.3395,0.17484,5.9795,2856.399,2.9239,342009.1,0.06895,
1.7798,25.2625,249.3549,0.71267,0.46502,4.3441,0.17817,6.09,2858.075,2.9256,341808.5,0.06895,
1.8132,25.2639,253.901,0.72601,0.46957,4.3486,0.1815,6.201,2859.417,2.927,341648.1,0.1379,
1.8465,25.264,258.4546,0.73934,0.47412,4.3532,0.18484,6.3122,2860.627,2.9282,341503.6,0.06895,
1.8798,25.2682,263.0137,0.75268,0.47869,4.3577,0.18817,6.4235,2861.736,2.9294,341371.2,0,
1.9132,25.2658,267.5744,0.76601,0.48325,4.3623,0.1915,6.5349,2862.79,2.9304,341245.6,0,
1.9465,25.2667,272.1559,0.77934,0.48784,4.3669,0.19484,6.6468,2863.59,2.9313,341150.2,0.06895,
1.9798,25.2706,276.7595,0.79268,0.49244,4.3715,0.19817,6.7593,2864.134,2.9318,341085.4,0,
2.0132,25.2753,281.3958,0.80601,0.49708,4.3761,0.2015,6.8725,2864.328,2.932,341062.3,0.20685,
2.0465,25.2768,286.0266,0.81934,0.50172,4.3808,0.20484,6.9856,2864.571,2.9323,341033.4,0,
2.0798,25.2742,290.653,0.83268,0.50635,4.3854,0.20817,7.0986,2864.85,2.9325,341000.1,0.06895,
2.1132,25.2784,295.2874,0.84601,0.51098,4.39,0.2115,7.2118,2865.041,2.9327,340977.4,0.06895,
2.1465,25.2821,299.9204,0.85934,0.51562,4.3947,0.21484,7.3249,2865.241,2.9329,340953.6,0,
2.1798,25.2842,304.5584,0.87268,0.52026,4.3993,0.21817,7.4382,2865.388,2.9331,340936.2,0,
2.2132,25.2884,309.2024,0.88601,0.52491,4.404,0.2215,7.5516,2865.474,2.9332,340926,0.06895,
2.2465,25.2908,313.861,0.89934,0.52957,4.4086,0.22484,7.6654,2865.424,2.9331,340931.9,0,
2.2798,25.2958,318.5166,0.91268,0.53423,4.4133,0.22817,7.7791,2865.404,2.9331,340934.3,0,
2.3132,25.3019,323.1531,0.92601,0.53887,4.4179,0.2315,7.8923,2865.552,2.9333,340916.6,0,
2.3465,25.3058,327.7986,0.93935,0.54352,4.4226,0.23484,8.0058,2865.618,2.9333,340908.8,0,
2.3798,25.3041,332.4646,0.95268,0.54819,4.4272,0.23817,8.1197,2865.506,2.9332,340922.2,0,
2.4132,25.3058,337.1374,0.96601,0.55287,4.4319,0.2415,8.2339,2865.339,2.9331,340942,0,
2.4465,25.306,341.81,0.97935,0.55754,4.4366,0.24484,8.348,2865.178,2.9329,340961.2,0,
2.4798,25.3084,346.4846,0.99268,0.56222,4.4413,0.24817,8.4621,2865.005,2.9327,340981.7,0.2758,
2.5132,25.3127,351.1676,1.006,0.56691,4.446,0.2515,8.5765,2864.765,2.9325,341010.3,0.1379,
2.5465,25.3128,355.8602,1.0193,0.5716,4.4507,0.25484,8.6911,2864.455,2.9321,341047.2,0.20685,
2.5798,25.3142,360.5511,1.0327,0.5763,4.4553,0.25817,8.8057,2864.164,2.9318,341081.8,0.20685,
2.6132,25.3171,365.2432,1.046,0.58099,4.46,0.2615,8.9203,2863.873,2.9316,341116.5,0.06895,
2.6465,25.3236,369.9716,1.0593,0.58572,4.4648,0.26484,9.0358,2863.308,2.931,341183.9,0,
2.6798,25.3223,374.7278,1.0727,0.59048,4.4695,0.26817,9.1519,2862.544,2.9302,341274.9,0,
2.7132,25.3221,379.5134,1.086,0.59527,4.4743,0.2715,9.2688,2861.578,2.9292,341390,0.06895,
2.7465,25.3258,384.2985,1.0993,0.60006,4.4791,0.27483,9.3857,2860.64,2.9282,341502,0,
2.7798,25.3302,389.1098,1.1127,0.60488,4.4839,0.27817,9.5032,2859.532,2.9271,341634.3,0,
2.8132,25.3355,393.9394,1.126,0.60971,4.4888,0.2815,9.6211,2858.318,2.9259,341779.4,0.06895,
2.8465,25.3325,398.7606,1.1393,0.61453,4.4936,0.28483,9.7389,2857.194,2.9247,341913.8,0.1379,
2.8798,25.3301,403.565,1.1527,0.61934,4.4984,0.28817,9.8562,2856.216,2.9237,342031,0.1379,
2.9132,25.3282,408.3808,1.166,0.62416,4.5032,0.2915,9.9738,2855.182,2.9227,342154.9,0,
2.9465,25.3256,413.2106,1.1793,0.62899,4.508,0.29483,10.0918,2854.074,2.9215,342287.7,0,
2.9798,25.3316,418.0416,1.1927,0.63383,4.5129,0.29817,10.2098,2852.985,2.9204,342418.4,0,
3.0132,25.3398,422.8702,1.206,0.63866,4.5177,0.3015,10.3277,2851.935,2.9193,342544.4,0.1379,
3.0465,25.3351,427.7174,1.2193,0.64351,4.5226,0.30483,10.4461,2850.788,2.9182,342682.2,0.2758,
3.0798,25.3324,432.5772,1.2327,0.64837,4.5274,0.30817,10.5648,2849.58,2.9169,342827.5,0.20685,
3.1132,25.3348,437.4398,1.246,0.65324,4.5323,0.3115,10.6835,2848.382,2.9157,342971.7,0,
3.1465,25.3381,442.29,1.2593,0.65809,4.5371,0.31483,10.802,2847.29,2.9146,343103.2,0.06895,
3.1798,25.3395,447.1519,1.2727,0.66296,4.542,0.31816,10.9207,2846.148,2.9134,343240.9,0.06895,
3.2132,25.3426,452.0396,1.286,0.66785,4.5469,0.3215,11.0401,2844.867,2.9121,343395.4,0.06895,
3.2465,25.3414,456.9394,1.2993,0.67275,4.5518,0.32483,11.1598,2843.54,2.9107,343555.7,0.06895,
3.2798,25.3425,461.8563,1.3127,0.67767,4.5567,0.32816,11.2798,2842.134,2.9093,343725.7,0,
3.3132,25.3457,466.779,1.326,0.6826,4.5616,0.3315,11.4001,2840.723,2.9079,343896.4,0,
3.3465,25.346,471.7456,1.3393,0.68757,4.5666,0.33483,11.5214,2839.077,2.9062,344095.8,0,
3.3798,25.3472,476.7454,1.3527,0.69257,4.5716,0.33816,11.6435,2837.268,2.9043,344315.1,0,
3.4132,25.3497,481.7317,1.366,0.69756,4.5766,0.3415,11.7653,2835.576,2.9026,344520.6,0.06895,
3.4465,25.3523,486.7072,1.3793,0.70254,4.5816,0.34483,11.8868,2833.981,2.901,344714.5,0.06895,
3.4798,25.3528,491.714,1.3927,0.70755,4.5866,0.34816,12.0091,2832.24,2.8992,344926.4,0.1379,
3.5132,25.3505,496.7602,1.406,0.7126,4.5916,0.3515,12.1323,2830.308,2.8972,345161.9,0.06895,
3.5465,25.3482,501.8753,1.4193,0.71772,4.5968,0.35483,12.2572,2828.026,2.8949,345440.4,0.06895,
3.5798,25.3461,507.0381,1.4326,0.72289,4.6019,0.35816,12.3833,2825.525,2.8923,345746.2,0,
3.6132,25.3458,512.2766,1.446,0.72813,4.6072,0.3615,12.5113,2822.656,2.8894,346097.5,0.06895,
3.6465,25.3423,517.5535,1.4593,0.73341,4.6125,0.36483,12.6401,2819.638,2.8863,346468,0.06895,
3.68,25.3479,522.8519,1.4726,0.73871,4.6178,0.36816,12.7695,2816.564,2.8831,346846.1,0.06895,
3.7133,25.357,528.2005,1.486,0.74406,4.6231,0.37149,12.9002,2813.284,2.8798,347250.5,0.06895,
3.7467,25.3568,533.6358,1.4993,0.7495,4.6285,0.37483,13.0329,2809.614,2.876,347704.2,0.06895,
3.78,25.3548,539.0638,1.5126,0.75493,4.634,0.37816,13.1655,2806.056,2.8724,348145,0,
3.8133,25.3466,544.4711,1.526,0.76034,4.6394,0.38149,13.2975,2802.675,2.8689,348565,0.06895,
3.8467,25.3351,549.8777,1.5393,0.76575,4.6448,0.38483,13.4296,2799.364,2.8655,348977.3,0.06895,
3.88,25.3333,555.2682,1.5526,0.77115,4.6502,0.38816,13.5612,2796.198,2.8623,349372.3,0.1379,
3.9133,25.3308,560.6574,1.566,0.77654,4.6556,0.39149,13.6929,2793.1,2.8591,349759.9,0.06895,
